"idauniq","Paternal_Occ_Intermediate","Paternal_Occ_High","Self_Occ_Intermediate","Self_Occ_High","Education_Intermediate","Education_Degree","Wealth_Second_Tertile","Wealth_Third_Tertile","Age","Sex"
104074,0,1,0,0,1,0,1,0,65,2
104079,1,0,0,1,1,0,1,0,79,2
104086,1,0,0,0,1,0,0,1,62,1
104098,0,1,0,1,0,1,0,1,62,1
104101,0,1,0,0,1,0,0,1,63,2
104108,0,1,0,1,0,1,0,1,58,1
104109,0,1,0,1,1,0,0,1,61,1
104114,0,1,0,1,0,1,0,1,71,2
104127,0,0,0,1,0,0,0,0,68,2
104128,1,0,0,0,1,0,0,1,71,2
104130,0,1,0,0,1,0,0,1,61,1
104132,1,0,0,0,0,0,0,0,85,2
104135,0,1,0,0,1,0,0,0,62,1
104137,1,0,0,0,1,0,0,0,61,2
104139,1,0,0,1,1,0,0,1,77,2
104150,1,0,0,0,1,0,0,0,68,2
104162,1,0,1,0,1,0,0,0,71,2
104163,1,0,0,1,0,1,0,1,75,1
104165,1,0,1,0,1,0,1,0,74,2
104166,1,0,0,1,1,0,0,1,60,1
104167,0,1,1,0,0,0,1,0,58,1
104175,0,1,0,1,1,0,1,0,56,1
104176,0,0,0,0,1,0,0,0,53,2
104179,1,0,0,1,0,0,0,0,56,2
104183,0,1,0,1,1,0,0,1,61,2
104186,1,0,0,0,0,0,0,0,81,2
104192,0,1,1,0,1,0,0,1,71,1
104194,0,0,0,0,0,1,1,0,63,1
104201,1,0,0,1,0,1,1,0,57,2
104202,1,0,0,0,1,0,1,0,58,2
104209,1,0,0,0,1,0,1,0,59,1
104215,0,1,1,0,1,0,0,1,56,2
104217,0,0,0,0,1,0,1,0,55,2
104224,0,0,0,0,1,0,0,0,64,2
104226,0,0,1,0,0,1,0,0,72,2
104228,0,0,0,0,1,0,0,0,59,1
104231,0,1,0,0,1,0,1,0,71,1
104232,0,1,0,1,0,1,1,0,56,2
104235,0,1,0,0,1,0,1,0,64,1
104242,0,1,0,1,1,0,1,0,66,1
104246,1,0,0,0,0,0,0,0,68,2
104250,1,0,1,0,1,0,1,0,58,1
104253,1,0,1,0,1,0,1,0,50,2
104254,0,0,0,0,0,0,0,0,74,2
104255,1,0,0,0,0,0,0,1,78,2
104258,1,0,1,0,0,0,1,0,73,2
104260,-99,-99,0,1,0,0,0,0,63,1
104262,1,0,1,0,1,0,0,1,58,1
104269,0,1,1,0,1,0,1,0,71,1
104285,0,0,0,0,0,0,0,0,72,2
104293,1,0,1,0,1,0,0,0,79,2
104296,0,1,0,1,0,1,0,1,57,1
104300,0,0,0,1,1,0,0,1,56,1
104305,0,1,0,1,0,1,0,1,57,1
104306,1,0,0,1,1,0,0,1,65,1
104313,0,0,0,0,1,0,0,1,70,2
104314,0,0,1,0,0,0,0,0,66,1
104317,1,0,0,1,0,1,-99,-99,64,2
104323,0,1,0,0,0,1,0,0,70,1
104324,0,0,1,0,1,0,0,1,70,2
104328,1,0,0,0,1,0,1,0,61,2
104329,0,1,0,1,1,0,1,0,64,2
104334,1,0,0,1,1,0,-99,-99,61,1
104336,1,0,1,0,1,0,0,1,63,1
104338,1,0,0,1,1,0,0,1,64,2
104341,1,0,0,0,0,0,1,0,56,1
104345,1,0,0,1,1,0,1,0,60,1
104346,1,0,0,0,1,0,1,0,64,2
104349,0,1,0,1,0,1,1,0,62,1
104350,0,1,1,0,1,0,0,1,52,2
104353,0,0,0,0,0,0,1,0,64,2
104354,0,1,1,0,1,0,0,1,59,2
104357,0,1,1,0,1,0,1,0,58,2
104366,0,0,1,0,0,0,0,0,69,2
104372,1,0,0,0,1,0,0,0,60,1
104376,0,0,0,0,0,0,0,1,66,1
104377,1,0,0,1,1,0,1,0,74,2
104381,0,1,0,1,0,1,1,0,75,1
104384,-99,-99,0,0,1,0,-99,-99,62,1
104391,0,1,0,0,1,0,0,1,59,2
104393,1,0,0,1,1,0,1,0,56,2
104394,1,0,0,1,1,0,0,1,69,1
104397,0,1,0,1,0,1,0,1,71,1
104402,0,0,0,0,0,0,0,0,69,1
104404,0,0,0,0,0,0,1,0,67,1
104406,1,0,1,0,0,0,1,0,72,2
104409,0,0,0,0,1,0,0,1,62,2
104413,0,1,0,1,1,0,0,1,61,1
104417,0,0,1,0,0,0,0,0,71,2
104420,0,0,1,0,1,0,1,0,77,2
104423,0,1,0,1,1,0,0,1,72,1
104428,1,0,0,1,1,0,-99,-99,64,2
104436,1,0,0,1,1,0,-99,-99,57,1
104441,0,0,1,0,0,0,0,1,65,2
104443,0,1,1,0,1,0,1,0,60,1
104444,0,1,0,0,0,0,1,0,55,2
104454,0,1,0,1,0,1,1,0,62,1
104458,1,0,0,0,0,0,1,0,65,2
104459,0,0,0,1,1,0,0,1,55,1
104464,0,1,1,0,0,0,1,0,71,2
104466,1,0,0,1,1,0,0,1,77,1
